experiment_id,trial_id,timestamp,curve_name,curve_description,elo,tolerance,cp_loss,soundness_score,tol_at_min_elo,tol_at_max_elo
exp7,163,2026-02-25T14:04:23.321948+00:00,extended_elo,Extended ELO range: 130 (ELO 200) to 40 (ELO 1800),500,113.1,30,76,130.0,40.0
exp7,164,2026-02-25T14:04:23.321950+00:00,extended_elo,Extended ELO range: 130 (ELO 200) to 40 (ELO 1800),500,113.1,50,64,130.0,40.0
exp7,165,2026-02-25T14:04:23.321951+00:00,extended_elo,Extended ELO range: 130 (ELO 200) to 40 (ELO 1800),500,113.1,80,49,130.0,40.0
exp7,166,2026-02-25T14:04:23.321953+00:00,extended_elo,Extended ELO range: 130 (ELO 200) to 40 (ELO 1800),500,113.1,120,34,130.0,40.0
exp7,167,2026-02-25T14:04:23.321954+00:00,extended_elo,Extended ELO range: 130 (ELO 200) to 40 (ELO 1800),500,113.1,200,17,130.0,40.0
exp7,168,2026-02-25T14:04:23.321956+00:00,extended_elo,Extended ELO range: 130 (ELO 200) to 40 (ELO 1800),500,113.1,300,7,130.0,40.0
exp7,169,2026-02-25T14:04:23.321959+00:00,extended_elo,Extended ELO range: 130 (ELO 200) to 40 (ELO 1800),800,96.2,0,100,130.0,40.0
exp7,170,2026-02-25T14:04:23.321962+00:00,extended_elo,Extended ELO range: 130 (ELO 200) to 40 (ELO 1800),800,96.2,10,90,130.0,40.0
exp7,171,2026-02-25T14:04:23.321963+00:00,extended_elo,Extended ELO range: 130 (ELO 200) to 40 (ELO 1800),800,96.2,30,73,130.0,40.0
exp7,172,2026-02-25T14:04:23.321965+00:00,extended_elo,Extended ELO range: 130 (ELO 200) to 40 (ELO 1800),800,96.2,50,59,130.0,40.0
exp7,173,2026-02-25T14:04:23.321966+00:00,extended_elo,Extended ELO range: 130 (ELO 200) to 40 (ELO 1800),800,96.2,80,43,130.0,40.0
exp7,174,2026-02-25T14:04:23.321968+00:00,extended_elo,Extended ELO range: 130 (ELO 200) to 40 (ELO 1800),800,96.2,120,28,130.0,40.0
